dataset,endpoint,feature,type,N,estimate,ci_95,perm_p,local_q,global_q,auc_flipped,auc_raw,estimate_num,auc_flipped_num,ci_lo,ci_hi,display_estimate
ds007020,AUC_mortality,dev_z_rel_alpha,auc,94,0.365530303030303,"[0.234359506856540, 0.505009524593763]",0.0551472426378681,0.110294485275736,0.208334027743057,0.634469696969697,--,0.365530303030303,0.634469696969697,0.23435950685654,0.505009524593763,0.634469696969697
ds007020,LogitBeta_mortality,dev_z_rel_alpha,logit_beta,94,-0.271866265332065,"[-1.206677461484762, 0.231262381551222]",0.245037748112594,0.306297185140743,0.64086795660217,--,--,-0.271866265332065,,-1.206677461484762,0.231262381551222,-0.271866265332065
ds007020,AUC_mortality,dev_z_spectral_slope,auc,94,0.487373737373737,"[0.354459143797379, 0.616660338844662]",0.861606919654017,0.910604469776511,0.963451827408629,0.512626262626263,--,0.487373737373737,0.512626262626263,0.354459143797379,0.616660338844662,0.512626262626263
ds007020,LogitBeta_mortality,dev_z_spectral_slope,logit_beta,94,0.02516731452145,"[-0.422195559623330, 0.466542065206272]",0.910604469776511,0.910604469776511,0.963451827408629,--,--,0.02516731452145,,-0.42219555962333,0.466542065206272,0.02516731452145
ds007020,AUC_mortality,composite_deviation,auc,94,0.611111111111111,"[0.485112283549783, 0.736036950833638]",0.117494125293735,0.195823542156225,0.3994800259987,0.611111111111111,--,0.611111111111111,0.611111111111111,0.485112283549783,0.736036950833638,0.611111111111111
ds007020,LogitBeta_mortality,composite_deviation,logit_beta,94,0.623433753994526,"[-0.144151590911676, 1.509503279311393]",0.169791510424479,0.242559300606398,0.524810123130207,--,--,0.623433753994526,,-0.144151590911676,1.509503279311393,0.623433753994526
ds007020,AUC_mortality,leapd_index_loocv,auc,94,0.722222222222222,"[0.568127705627706, 0.854072765469824]",0.0015999200039998,0.015999200039998,0.0181324267119977,0.722222222222222,--,0.722222222222222,0.722222222222222,0.568127705627706,0.854072765469824,0.722222222222222
ds007020,LogitBeta_mortality,leapd_index_loocv,logit_beta,94,0.954291849985699,"[0.121868300349312, 1.746287647899254]",0.0458977051147442,0.110294485275736,0.20313984300785,--,--,0.954291849985699,,0.121868300349312,1.746287647899254,0.954291849985699
ds004504,AUC_AD_vs_CN,dev_z_theta_alpha_ratio,auc,65,0.726053639846743,"[0.599984143763214, 0.844446138211382]",0.0021498925053747,0.0114660933619985,0.0182740862956849,0.726053639846743,0.726053639846743,0.726053639846743,0.726053639846743,0.599984143763214,0.844446138211382,0.726053639846743
ds004504,AUC_FTD_vs_CN,dev_z_theta_alpha_ratio,auc,52,0.761619190404798,"[0.623683749643036, 0.886123680241327]",0.0010999450027498,0.0087995600219989,0.0181324267119977,0.761619190404798,0.761619190404798,0.761619190404798,0.761619190404798,0.623683749643036,0.886123680241327,0.761619190404798
ds004504,AUC_AD_vs_FTD,dev_z_theta_alpha_ratio,auc,59,0.506038647342995,"[0.356255965466492, 0.660719770094770]",0.944302784860757,0.96345182740863,0.963451827408629,0.506038647342995,0.506038647342995,0.506038647342995,0.506038647342995,0.356255965466492,0.66071977009477,0.506038647342995
ds004504,MMSE_regression_beta,dev_z_theta_alpha_ratio,robust_beta,88,-0.33376050934311,"[-1.324061307598877, 1.292818751757492]",0.618269086545673,0.904318420442614,0.880768461576921,--,--,-0.33376050934311,,-1.324061307598877,1.292818751757492,-0.33376050934311
ds004504,AUC_AD_vs_CN,dev_z_rel_alpha,auc,65,0.318007662835249,"[0.190974742891712, 0.449815340909091]",0.0115994200289985,0.0463976801159942,0.0699798343416159,0.681992337164751,0.318007662835249,0.318007662835249,0.681992337164751,0.190974742891712,0.449815340909091,0.681992337164751
ds004504,AUC_FTD_vs_CN,dev_z_rel_alpha,auc,52,0.223388305847076,"[0.102857583842304, 0.367132217301487]",0.0004999750012499,0.007999600019999,0.0169991500424965,0.776611694152924,0.223388305847076,0.223388305847076,0.776611694152924,0.102857583842304,0.367132217301487,0.776611694152924
ds004504,AUC_AD_vs_FTD,dev_z_rel_alpha,auc,59,0.579710144927536,"[0.427040565501563, 0.726045801045801]",0.311284435778211,0.904318420442614,0.71861073612986,0.579710144927536,0.579710144927536,0.579710144927536,0.579710144927536,0.427040565501563,0.726045801045801,0.579710144927536
ds004504,MMSE_regression_beta,dev_z_rel_alpha,robust_beta,88,0.054233138880588,"[-1.367456094554882, 1.309316777228747]",0.935103244837758,0.96345182740863,0.963451827408629,--,--,0.054233138880588,,-1.367456094554882,1.309316777228747,0.054233138880588
ds004504,AUC_AD_vs_CN,dev_z_spectral_slope,auc,65,0.503831417624521,"[0.361900703463203, 0.650014204545454]",0.96345182740863,0.96345182740863,0.963451827408629,0.503831417624521,0.503831417624521,0.503831417624521,0.503831417624521,0.361900703463203,0.650014204545454,0.503831417624521
ds004504,AUC_FTD_vs_CN,dev_z_spectral_slope,auc,52,0.517241379310345,"[0.354050347222222, 0.692805504049301]",0.838458077096145,0.96345182740863,0.963451827408629,0.517241379310345,0.517241379310345,0.517241379310345,0.517241379310345,0.354050347222222,0.692805504049301,0.517241379310345
ds004504,AUC_AD_vs_FTD,dev_z_spectral_slope,auc,59,0.445652173913044,"[0.299447175631386, 0.600855559615150]",0.492375381230938,0.904318420442614,0.837038148092595,0.554347826086957,0.445652173913044,0.445652173913044,0.554347826086957,0.299447175631386,0.60085555961515,0.554347826086957
ds004504,MMSE_regression_beta,dev_z_spectral_slope,robust_beta,88,0.242926491034723,"[-0.677967381236508, 0.650448032344087]",0.468476576171191,0.904318420442614,0.837038148092595,--,--,0.242926491034723,,-0.677967381236508,0.650448032344087,0.242926491034723
ds004504,AUC_AD_vs_CN,composite_deviation,auc,65,0.522988505747126,"[0.379291533075967, 0.682178236947271]",0.75951202439878,0.96345182740863,0.963451827408629,0.522988505747126,0.522988505747126,0.522988505747126,0.522988505747126,0.379291533075967,0.682178236947271,0.522988505747126
ds004504,AUC_FTD_vs_CN,composite_deviation,auc,52,0.574212893553223,"[0.406858640585421, 0.750000000000000]",0.370581470926454,0.904318420442614,0.771961401929903,0.574212893553223,0.574212893553223,0.574212893553223,0.574212893553223,0.406858640585421,0.75,0.574212893553223
ds004504,AUC_AD_vs_FTD,composite_deviation,auc,59,0.456521739130435,"[0.307001400560224, 0.601196946169772]",0.579071046447678,0.904318420442614,0.880768461576921,0.543478260869565,0.456521739130435,0.456521739130435,0.543478260869565,0.307001400560224,0.601196946169772,0.543478260869565
ds004504,MMSE_regression_beta,composite_deviation,robust_beta,88,0.486841546794588,"[-2.009853603702381, 1.884874835322575]",0.621718914054297,0.904318420442614,0.880768461576921,--,--,0.486841546794588,,-2.009853603702381,1.884874835322575,0.486841546794588
